词语 文章uri 词语频率 文章长度（词语数量）
六月 https://www.scut.edu.cn/new/ 6 1109
举行 https://www.scut.edu.cn/new/ 4 1109
天津 https://www.scut.edu.cn/new/ 1 1109
医科大学 https://www.scut.edu.cn/new/ 1 1109
杨志民 https://www.scut.edu.cn/new/ 1 1109
教授 https://www.scut.edu.cn/new/ 2 1109
报告会 https://www.scut.edu.cn/new/ 4 1109
通知 https://www.scut.edu.cn/new/ 9 1109
Max https://www.scut.edu.cn/new/ 1 1109
Planck https://www.scut.edu.cn/new/ 1 1109
Institute https://www.scut.edu.cn/new/ 1 1109
赫家烨 https://www.scut.edu.cn/new/ 1 1109
博士 https://www.scut.edu.cn/new/ 1 1109
中科院 https://www.scut.edu.cn/new/ 1 1109
数学 https://www.scut.edu.cn/new/ 1 1109
系统科学 https://www.scut.edu.cn/new/ 1 1109
研究院 https://www.scut.edu.cn/new/ 2 1109
张晓 https://www.scut.edu.cn/new/ 1 1109
研究员 https://www.scut.edu.cn/new/ 1 1109
5 https://www.scut.edu.cn/new/ 10 1109
香港 https://www.scut.edu.cn/new/ 1 1109
大学 https://www.scut.edu.cn/new/ 16 1109
Edmund https://www.scut.edu.cn/new/ 1 1109
C https://www.scut.edu.cn/new/ 3 1109
M https://www.scut.edu.cn/new/ 4 1109
Tse https://www.scut.edu.cn/new/ 1 1109
教学 https://www.scut.edu.cn/new/ 2 1109
科研 https://www.scut.edu.cn/new/ 1 1109
4 https://www.scut.edu.cn/new/ 5 1109
广东 https://www.scut.edu.cn/new/ 9 1109
特支 https://www.scut.edu.cn/new/ 1 1109
名师 https://www.scut.edu.cn/new/ 1 1109
申报 https://www.scut.edu.cn/new/ 2 1109
3 https://www.scut.edu.cn/new/ 12 1109
公布 https://www.scut.edu.cn/new/ 1 1109
理工大学 https://www.scut.edu.cn/new/ 7 1109
十三五 https://www.scut.edu.cn/new/ 1 1109
教材 https://www.scut.edu.cn/new/ 1 1109
建设 https://www.scut.edu.cn/new/ 1 1109
第四 https://www.scut.edu.cn/new/ 3 1109
批 https://www.scut.edu.cn/new/ 2 1109
立项 https://www.scut.edu.cn/new/ 1 1109
项目 https://www.scut.edu.cn/new/ 2 1109
五月 https://www.scut.edu.cn/new/ 2 1109
组织 https://www.scut.edu.cn/new/ 1 1109
技术 https://www.scut.edu.cn/new/ 2 1109
应用 https://www.scut.edu.cn/new/ 1 1109
工程 https://www.scut.edu.cn/new/ 3 1109
29 https://www.scut.edu.cn/new/ 1 1109
公示 https://www.scut.edu.cn/new/ 1 1109
2018 https://www.scut.edu.cn/new/ 2 1109
学年度 https://www.scut.edu.cn/new/ 1 1109
勤工助学 https://www.scut.edu.cn/new/ 1 1109
先进个人 https://www.scut.edu.cn/new/ 1 1109
日报 https://www.scut.edu.cn/new/ 1 1109
儿童节 https://www.scut.edu.cn/new/ 1 1109
听 https://www.scut.edu.cn/new/ 1 1109
院士 https://www.scut.edu.cn/new/ 1 1109
爷爷 https://www.scut.edu.cn/new/ 1 1109
讲课 https://www.scut.edu.cn/new/ 1 1109
何镜堂 https://www.scut.edu.cn/new/ 1 1109
自称 https://www.scut.edu.cn/new/ 1 1109
80 https://www.scut.edu.cn/new/ 1 1109
后 https://www.scut.edu.cn/new/ 1 1109
端出 https://www.scut.edu.cn/new/ 1 1109
一盘盘 https://www.scut.edu.cn/new/ 1 1109
大餐 https://www.scut.edu.cn/new/ 1 1109
做 https://www.scut.edu.cn/new/ 3 1109
扶贫 https://www.scut.edu.cn/new/ 1 1109
点 https://www.scut.edu.cn/new/ 3 1109
电视台 https://www.scut.edu.cn/new/ 1 1109
首届 https://www.scut.edu.cn/new/ 1 1109
粤港澳 https://www.scut.edu.cn/new/ 2 1109
物 https://www.scut.edu.cn/new/ 3 1109
联网 https://www.scut.edu.cn/new/ 1 1109
高峰论坛 https://www.scut.edu.cn/new/ 1 1109
物联 https://www.scut.edu.cn/new/ 2 1109
南方网 https://www.scut.edu.cn/new/ 1 1109
南网杯 https://www.scut.edu.cn/new/ 2 1109
节能 https://www.scut.edu.cn/new/ 2 1109
减 https://www.scut.edu.cn/new/ 2 1109
排 https://www.scut.edu.cn/new/ 2 1109
大赛 https://www.scut.edu.cn/new/ 2 1109
落幕 https://www.scut.edu.cn/new/ 2 1109
9 https://www.scut.edu.cn/new/ 24 1109
项 https://www.scut.edu.cn/new/ 6 1109
作 https://www.scut.edu.cn/new/ 10 1109
央 https://www.scut.edu.cn/new/ 1 1109
网 https://www.scut.edu.cn/new/ 12 1109
新华网 https://www.scut.edu.cn/new/ 1 1109
专访 https://www.scut.edu.cn/new/ 1 1109
家 https://www.scut.edu.cn/new/ 3 1109
国情 https://www.scut.edu.cn/new/ 1 1109
怀 https://www.scut.edu.cn/new/ 1 1109
人文 https://www.scut.edu.cn/new/ 1 1109
关 https://www.scut.edu.cn/new/ 10 1109
青年报 https://www.scut.edu.cn/new/ 1 1109
斩获 https://www.scut.edu.cn/new/ 1 1109
挑战 https://www.scut.edu.cn/new/ 1 1109
杯 https://www.scut.edu.cn/new/ 3 1109
羊城晚报 https://www.scut.edu.cn/new/ 1 1109
废 https://www.scut.edu.cn/new/ 1 1109
水循环 https://www.scut.edu.cn/new/ 1 1109
洁厕 https://www.scut.edu.cn/new/ 1 1109
走路 https://www.scut.edu.cn/new/ 1 1109
发电 https://www.scut.edu.cn/new/ 1 1109
… https://www.scut.edu.cn/new/ 2 1109
9个 https://www.scut.edu.cn/new/ 1 1109
承 https://www.scut.edu.cn/new/ 1 1109
百年 https://www.scut.edu.cn/new/ 1 1109
文脉 https://www.scut.edu.cn/new/ 1 1109
绘 https://www.scut.edu.cn/new/ 1 1109
华章 https://www.scut.edu.cn/new/ 1 1109
分子 https://www.scut.edu.cn/new/ 1 1109
科学 https://www.scut.edu.cn/new/ 5 1109
工程学院 https://www.scut.edu.cn/new/ 1 1109
资助 https://www.scut.edu.cn/new/ 1 1109
助力 https://www.scut.edu.cn/new/ 1 1109
圆梦 https://www.scut.edu.cn/new/ 1 1109
软 https://www.scut.edu.cn/new/ 1 1109
物质 https://www.scut.edu.cn/new/ 1 1109
高等 https://www.scut.edu.cn/new/ 1 1109
英伦 https://www.scut.edu.cn/new/ 1 1109
夏— https://www.scut.edu.cn/new/ 1 1109
材料 https://www.scut.edu.cn/new/ 1 1109
学院 https://www.scut.edu.cn/new/ 2 1109
不忘 https://www.scut.edu.cn/new/ 1 1109
初心 https://www.scut.edu.cn/new/ 1 1109
砥砺 https://www.scut.edu.cn/new/ 1 1109
歌行 https://www.scut.edu.cn/new/ 1 1109
成长 https://www.scut.edu.cn/new/ 1 1109
力量 https://www.scut.edu.cn/new/ 1 1109
2018年 https://www.scut.edu.cn/new/ 1 1109
教师节 https://www.scut.edu.cn/new/ 1 1109
专题 https://www.scut.edu.cn/new/ 2 1109
视频 https://www.scut.edu.cn/new/ 1 1109
公益广告 https://www.scut.edu.cn/new/ 2 1109
爱 https://www.scut.edu.cn/new/ 3 1109
For https://www.scut.edu.cn/new/ 1 1109
Love https://www.scut.edu.cn/new/ 1 1109
回家 https://www.scut.edu.cn/new/ 1 1109
相关 https://www.scut.edu.cn/new/ 1 1109
链接 https://www.scut.edu.cn/new/ 1 1109
中华人民共和国 https://www.scut.edu.cn/new/ 1 1109
教育部 https://www.scut.edu.cn/new/ 1 1109
人民政府 https://www.scut.edu.cn/new/ 2 1109
广州市 https://www.scut.edu.cn/new/ 3 1109
五山 https://www.scut.edu.cn/new/ 2 1109
地址 https://www.scut.edu.cn/new/ 2 1109
天河 https://www.scut.edu.cn/new/ 1 1109
区 https://www.scut.edu.cn/new/ 10 1109
五 https://www.scut.edu.cn/new/ 8 1109
山路 https://www.scut.edu.cn/new/ 1 1109
381号 https://www.scut.edu.cn/new/ 1 1109
邮编 https://www.scut.edu.cn/new/ 2 1109
510641 https://www.scut.edu.cn/new/ 1 1109
大学城 https://www.scut.edu.cn/new/ 2 1109
番禺 https://www.scut.edu.cn/new/ 1 1109
510006 https://www.scut.edu.cn/new/ 1 1109
咨询 https://www.scut.edu.cn/new/ 1 1109
020 https://www.scut.edu.cn/new/ 1 1109
87110737 https://www.scut.edu.cn/new/ 1 1109
网上 https://www.scut.edu.cn/new/ 1 1109
查号 https://www.scut.edu.cn/new/ 1 1109
网站 https://www.scut.edu.cn/new/ 1 1109
设计 https://www.scut.edu.cn/new/ 1 1109
制作 https://www.scut.edu.cn/new/ 1 1109
管理 https://www.scut.edu.cn/new/ 1 1109
党委 https://www.scut.edu.cn/new/ 1 1109
宣传部 https://www.scut.edu.cn/new/ 1 1109
信息 https://www.scut.edu.cn/new/ 1 1109
网络工程 https://www.scut.edu.cn/new/ 1 1109
研究中心 https://www.scut.edu.cn/new/ 1 1109
2016 https://www.scut.edu.cn/new/ 1 1109
© https://www.scut.edu.cn/new/ 1 1109
版权 https://www.scut.edu.cn/new/ 1 1109
所有 https://www.scut.edu.cn/new/ 1 1109
粤 https://www.scut.edu.cn/new/ 3 1109
ICP https://www.scut.edu.cn/new/ 1 1109
备 https://www.scut.edu.cn/new/ 1 1109
05084312号 https://www.scut.edu.cn/new/ 1 1109
1 https://www.scut.edu.cn/new/ 36 1109
广州 https://www.scut.edu.cn/new/main.htm 9 1109
国际 https://www.scut.edu.cn/new/main.htm 4 1109
校区 https://www.scut.edu.cn/new/main.htm 6 1109
Guangzhou https://www.scut.edu.cn/new/main.htm 1 1109
International https://www.scut.edu.cn/new/main.htm 1 1109
Campus https://www.scut.edu.cn/new/main.htm 1 1109
在校 https://www.scut.edu.cn/new/main.htm 1 1109
生 https://www.scut.edu.cn/new/main.htm 17 1109
教职员工 https://www.scut.edu.cn/new/main.htm 1 1109
校友 https://www.scut.edu.cn/new/main.htm 3 1109
未来 https://www.scut.edu.cn/new/main.htm 1 1109
学生 https://www.scut.edu.cn/new/main.htm 8 1109
访客 https://www.scut.edu.cn/new/main.htm 1 1109
新闻网 https://www.scut.edu.cn/new/main.htm 1 1109
门户 https://www.scut.edu.cn/new/main.htm 1 1109
邮箱 https://www.scut.edu.cn/new/main.htm 1 1109
网络 https://www.scut.edu.cn/new/main.htm 3 1109
服务 https://www.scut.edu.cn/new/main.htm 1 1109
English https://www.scut.edu.cn/new/main.htm 1 1109
学校 https://www.scut.edu.cn/new/main.htm 9 1109
概况 https://www.scut.edu.cn/new/main.htm 2 1109
机构 https://www.scut.edu.cn/new/main.htm 2 1109
设置 https://www.scut.edu.cn/new/main.htm 2 1109
人才 https://www.scut.edu.cn/new/main.htm 4 1109
培养 https://www.scut.edu.cn/new/main.htm 4 1109
科学研究 https://www.scut.edu.cn/new/main.htm 3 1109
招生 https://www.scut.edu.cn/new/main.htm 4 1109
就业 https://www.scut.edu.cn/new/main.htm 2 1109
图书馆 https://www.scut.edu.cn/new/main.htm 2 1109
校园 https://www.scut.edu.cn/new/main.htm 3 1109
生活 https://www.scut.edu.cn/new/main.htm 2 1109
招聘 https://www.scut.edu.cn/new/main.htm 2 1109
合作 https://www.scut.edu.cn/new/main.htm 4 1109
交流 https://www.scut.edu.cn/new/main.htm 2 1109
广东省 https://www.scut.edu.cn/new/main.htm 4 1109
第十 https://www.scut.edu.cn/new/main.htm 4 1109
届 https://www.scut.edu.cn/new/main.htm 7 1109
大学生 https://www.scut.edu.cn/new/main.htm 4 1109
运动会 https://www.scut.edu.cn/new/main.htm 1 1109
创 https://www.scut.edu.cn/new/main.htm 9 1109
佳绩 https://www.scut.edu.cn/new/main.htm 2 1109
新闻 https://www.scut.edu.cn/new/main.htm 3 1109
more https://www.scut.edu.cn/new/main.htm 4 1109
召开 https://www.scut.edu.cn/new/main.htm 2 1109
第九 https://www.scut.edu.cn/new/main.htm 3 1109
届教 https://www.scut.edu.cn/new/main.htm 2 1109
代 https://www.scut.edu.cn/new/main.htm 11 1109
会 https://www.scut.edu.cn/new/main.htm 13 1109
暨 https://www.scut.edu.cn/new/main.htm 4 1109
第十五 https://www.scut.edu.cn/new/main.htm 3 1109
届工 https://www.scut.edu.cn/new/main.htm 2 1109
第四次 https://www.scut.edu.cn/new/main.htm 2 1109
会议 https://www.scut.edu.cn/new/main.htm 2 1109
推动 https://www.scut.edu.cn/new/main.htm 2 1109
市校 https://www.scut.edu.cn/new/main.htm 2 1109
泰州市 https://www.scut.edu.cn/new/main.htm 2 1109
政企 https://www.scut.edu.cn/new/main.htm 2 1109
代表团 https://www.scut.edu.cn/new/main.htm 3 1109
来访 https://www.scut.edu.cn/new/main.htm 2 1109
华南 https://www.scut.edu.cn/new/main.htm 15 1109
理工 https://www.scut.edu.cn/new/main.htm 14 1109
章 https://www.scut.edu.cn/new/main.htm 4 1109
熙春 https://www.scut.edu.cn/new/main.htm 3 1109
书记 https://www.scut.edu.cn/new/main.htm 2 1109
讲授 https://www.scut.edu.cn/new/main.htm 2 1109
思政 https://www.scut.edu.cn/new/main.htm 2 1109
第一 https://www.scut.edu.cn/new/main.htm 3 1109
课 https://www.scut.edu.cn/new/main.htm 3 1109
勉励 https://www.scut.edu.cn/new/main.htm 2 1109
走好 https://www.scut.edu.cn/new/main.htm 2 1109
新 https://www.scut.edu.cn/new/main.htm 16 1109
时代 https://www.scut.edu.cn/new/main.htm 4 1109
新长征 https://www.scut.edu.cn/new/main.htm 2 1109
路 https://www.scut.edu.cn/new/main.htm 4 1109
2019 https://www.scut.edu.cn/new/main.htm 20 1109
06 https://www.scut.edu.cn/new/main.htm 17 1109
湾区华园情 https://www.scut.edu.cn/new/main.htm 1 1109
惠聚 https://www.scut.edu.cn/new/main.htm 1 1109
共 https://www.scut.edu.cn/new/main.htm 4 1109
铸梦 https://www.scut.edu.cn/new/main.htm 1 1109
惠州市 https://www.scut.edu.cn/new/main.htm 1 1109
华南理工大学 https://www.scut.edu.cn/new/main.htm 7 1109
校友会 https://www.scut.edu.cn/new/main.htm 1 1109
注册 https://www.scut.edu.cn/new/main.htm 1 1109
成立 https://www.scut.edu.cn/new/main.htm 1 1109
05 https://www.scut.edu.cn/new/main.htm 7 1109
增强 https://www.scut.edu.cn/new/main.htm 1 1109
做好 https://www.scut.edu.cn/new/main.htm 2 1109
宗教 https://www.scut.edu.cn/new/main.htm 1 1109
工作 https://www.scut.edu.cn/new/main.htm 3 1109
能力 https://www.scut.edu.cn/new/main.htm 1 1109
华园 https://www.scut.edu.cn/new/main.htm 3 1109
讲坛 https://www.scut.edu.cn/new/main.htm 1 1109
举办 https://www.scut.edu.cn/new/main.htm 2 1109
专题报告 https://www.scut.edu.cn/new/main.htm 1 1109
8个 https://www.scut.edu.cn/new/main.htm 1 1109
一等奖 https://www.scut.edu.cn/new/main.htm 1 1109
创新 https://www.scut.edu.cn/new/main.htm 4 1109
高 https://www.scut.edu.cn/new/main.htm 5 1109
校 https://www.scut.edu.cn/new/main.htm 28 1109
报 https://www.scut.edu.cn/new/main.htm 15 1109
省 https://www.scut.edu.cn/new/main.htm 5 1109
好 https://www.scut.edu.cn/new/main.htm 5 1109
闻 https://www.scut.edu.cn/new/main.htm 3 1109
评选 https://www.scut.edu.cn/new/main.htm 1 1109
获 https://www.scut.edu.cn/new/main.htm 2 1109
双创 https://www.scut.edu.cn/new/main.htm 1 1109
教育 https://www.scut.edu.cn/new/main.htm 5 1109
经验 https://www.scut.edu.cn/new/main.htm 1 1109
辐射 https://www.scut.edu.cn/new/main.htm 1 1109
大 https://www.scut.edu.cn/new/main.htm 21 1109
湾区 https://www.scut.edu.cn/new/main.htm 2 1109
高校 https://www.scut.edu.cn/new/main.htm 2 1109
专创 https://www.scut.edu.cn/new/main.htm 1 1109
融合 https://www.scut.edu.cn/new/main.htm 1 1109
师资 https://www.scut.edu.cn/new/main.htm 1 1109
训练 https://www.scut.edu.cn/new/main.htm 2 1109
营 https://www.scut.edu.cn/new/main.htm 2 1109
04 https://www.scut.edu.cn/new/main.htm 2 1109
十 https://www.scut.edu.cn/new/main.htm 6 1109
共产党员 https://www.scut.edu.cn/new/main.htm 1 1109
共青团员 https://www.scut.edu.cn/new/main.htm 1 1109
标兵 https://www.scut.edu.cn/new/main.htm 1 1109
终选 https://www.scut.edu.cn/new/main.htm 1 1109
名单 https://www.scut.edu.cn/new/main.htm 2 1109
新鲜 https://www.scut.edu.cn/new/main.htm 1 1109
出炉 https://www.scut.edu.cn/new/main.htm 1 1109
03 https://www.scut.edu.cn/new/main.htm 4 1109
公安厅 https://www.scut.edu.cn/new/main.htm 1 1109
开展 https://www.scut.edu.cn/new/main.htm 1 1109
网络安全 https://www.scut.edu.cn/new/main.htm 1 1109
执法检查 https://www.scut.edu.cn/new/main.htm 1 1109
媒体 https://www.scut.edu.cn/new/main.htm 2 1109
报道 https://www.scut.edu.cn/new/main.htm 2 1109
2019年 https://www.scut.edu.cn/new/main.htm 2 1109
本科 https://www.scut.edu.cn/new/main.htm 2 1109
计划 https://www.scut.edu.cn/new/main.htm 2 1109
内容 https://www.scut.edu.cn/new/main.htm 1 1109
成 https://www.scut.edu.cn/new/main.htm 3 1109
热 https://www.scut.edu.cn/new/main.htm 1 1109
李东生 https://www.scut.edu.cn/new/main.htm 1 1109
鼓励 https://www.scut.edu.cn/new/main.htm 1 1109
开启 https://www.scut.edu.cn/new/main.htm 1 1109
新起点 https://www.scut.edu.cn/new/main.htm 1 1109
